id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd
172020203,11264801,11265417,2.0,2.0,4.0,1.363,3.000,2.5
172019731,11225796,11222811,1.0,4.0,5.0,1.100,6.500,2.5
172019741,11245844,11222813,3.0,7.0,10.0,1.083,7.000,2.5
172020206,11265417,11265418,2.0,2.0,4.0,1.083,7.000,2.5
172019743,11222813,11225796,5.0,4.0,9.0,1.125,5.500,2.5
172019745,11222811,11234591,5.0,5.0,10.0,1.142,5.000,2.5
172020208,11265419,11265417,3.0,1.0,4.0,1.125,5.500,2.5
172020212,11265418,11264801,2.0,2.0,4.0,1.200,4.333,2.5
172019748,11234591,11222813,3.0,3.0,6.0,1.100,6.500,2.5
172019752,11225796,11245844,3.0,4.0,7.0,1.071,7.500,2.5
172020214,11264801,11265419,3.0,2.0,5.0,1.222,4.000,2.5
172019759,11234591,11245844,3.0,3.0,6.0,1.083,7.000,2.5
172019762,11222811,11222813,2.0,0.0,2.0,1.062,8.000,2.5
172020217,11265419,11265418,4.0,3.0,7.0,1.125,5.500,2.5
172019764,11245844,11222811,1.0,2.0,3.0,1.062,8.000,2.5
172019768,11225796,11234591,2.0,0.0,2.0,1.200,4.333,2.5
172020219,11265417,11264801,2.0,2.0,4.0,1.333,3.250,2.5
172019770,11222811,11225796,4.0,3.0,7.0,1.100,6.500,2.5
172019773,11222813,11245844,1.0,4.0,5.0,1.050,8.500,2.5
172020222,11265418,11265417,3.0,2.0,5.0,1.062,8.000,2.5
172019775,11225796,11222813,1.0,5.0,6.0,,,
172019777,11234591,11222811,5.0,7.0,12.0,,,
172020229,11265417,11265419,1.0,2.0,3.0,,,
172020235,11264801,11265418,2.0,2.0,4.0,1.125,5.500,2.5
172019783,11222813,11234591,3.0,2.0,5.0,1.100,6.500,2.5
172019792,11245844,11225796,2.0,2.0,4.0,,,
172020237,11265419,11264801,1.0,1.0,2.0,1.200,4.333,2.5
172020239,11265418,11265419,2.0,5.0,7.0,1.083,7.000,2.5
172019797,11245892,11234654,2.0,2.0,4.0,,,
172019799,11222892,11222890,2.0,8.0,10.0,,,
172019806,11222890,11245892,6.0,5.0,11.0,1.050,8.500,2.5
172019814,11234654,11225890,3.0,5.0,8.0,1.166,4.500,2.5
172020244,11265471,11265472,4.0,0.0,4.0,1.363,3.000,2.5
172019829,11225890,11222890,4.0,4.0,8.0,,,
172019835,11245892,11222892,5.0,6.0,11.0,,,
172020254,11265472,11265473,2.0,3.0,5.0,,,
172019842,11222892,11225890,1.0,1.0,2.0,1.083,7.000,2.5
172019849,11222890,11234654,1.0,1.0,2.0,,,
172020260,11265475,11265472,3.0,2.0,5.0,1.083,7.000,2.5
172020266,11265473,11265471,1.0,1.0,2.0,1.142,5.000,2.5
172019852,11234654,11222892,5.0,6.0,11.0,,,
