,home,away,home_goals,away_goals,media_goals_home,media_goals_away,media_victories_home,media_victories_away,home_h2h_mean,away_h2h_mean,odds,indefinido,perde,ganha,reembolso,draw_no_bet_team_1.0,draw_no_bet_team_2.0
184,11244920,11256677,4.0,4.0,2.2,3.2,0.2,0.4,,,1.833,False,False,False,True,True,False
185,11256677,11231373,3.0,5.0,3.0,3.4,0.6,0.4,,,,True,False,False,False,False,False
186,11244920,11231373,3.0,4.0,2.2,3.4,0.2,0.4,,,2.375,False,True,False,False,True,False
187,11256677,11244920,3.0,2.0,3.0,1.8,0.6,0.0,,,1.833,False,False,True,False,True,False
188,11231373,11256677,3.0,4.0,2.6,3.2,0.4,0.4,,,1.615,False,True,False,False,True,False
189,11231373,11244920,3.0,3.0,2.6,1.8,0.4,0.0,,,1.615,False,False,False,True,True,False
190,11232153,11225719,4.0,2.0,2.4,1.8,0.4,0.0,,,1.533,False,False,True,False,True,False
191,11234845,11227233,3.0,4.0,1.8,2.2,0.0,0.6,0.0,4.0,1.909,False,True,False,False,True,False
192,11235957,11226309,1.0,1.0,2.6,2.6,0.6,0.6,2.0,2.0,1.909,False,False,False,True,True,False
193,11226204,11226212,2.0,5.0,2.0,2.0,0.2,0.2,,,3.25,False,True,False,False,True,False
194,11225719,11234845,3.0,2.0,1.4,2.0,0.2,0.2,1.0,1.0,1.833,False,False,True,False,True,False
195,11226660,11232153,2.0,3.0,2.6,2.2,0.4,0.6,3.3333333333333335,2.0,2.0,False,True,False,False,True,False
196,11226309,11226204,2.0,2.0,2.4,2.0,0.6,0.2,,,1.5,False,False,False,True,True,False
197,11225715,11235957,3.0,3.0,2.0,2.8,0.2,0.4,,,1.727,False,False,False,True,True,False
198,11234845,11226660,2.0,3.0,1.8,2.0,0.0,0.4,2.5,2.5,1.909,False,True,False,False,True,False
199,11227233,11225719,3.0,1.0,2.8,1.8,0.8,0.0,,,1.8,False,False,True,False,True,False
200,11225746,11226241,4.0,3.0,3.4,2.0,0.4,0.0,,,1.571,False,False,True,False,True,False
201,11226675,11226245,3.0,3.0,2.6,3.8,0.6,0.4,3.0,2.0,1.909,False,False,False,True,True,False
202,11226245,11225746,2.0,1.0,3.4,2.8,0.6,0.6,4.0,3.0,,True,False,False,False,False,False
203,11226241,11235981,1.0,4.0,2.0,3.0,0.2,0.2,0.0,4.0,,True,False,False,False,False,False
204,11260654,11226681,2.0,2.0,2.6,1.8,0.4,0.2,1.0,3.0,1.833,False,False,False,True,True,False
205,11226255,11232199,4.0,1.0,2.4,2.2,0.6,0.2,2.0,2.0,2.25,False,False,True,False,True,False
206,11235981,11226245,3.0,3.0,3.6,3.8,0.6,0.4,,,2.0,False,False,False,True,True,False
207,11225746,11226675,2.0,4.0,3.4,2.8,0.4,0.6,2.0,3.0,2.1,False,True,False,False,True,False
208,11232199,11260654,6.0,2.0,2.6,2.0,0.4,0.6,2.0,2.5,1.666,False,False,True,False,True,False
209,11226681,11225753,2.0,2.0,2.0,2.2,0.2,0.2,,,1.727,False,False,False,True,True,False
210,11226675,11235981,3.0,2.0,2.6,3.0,0.6,0.2,0.0,2.0,1.8,False,False,True,False,True,False
211,11226245,11226241,7.0,4.0,3.4,2.0,0.6,0.0,,,1.333,False,False,True,False,True,False
212,11225753,11232199,1.0,4.0,1.2,2.2,0.4,0.2,,,2.375,False,True,False,False,True,False
213,11260654,11226255,2.0,2.0,2.6,2.0,0.4,0.4,1.0,1.0,1.8,False,False,False,True,True,False
214,11226241,11226675,2.0,2.0,2.0,2.8,0.2,0.6,,,2.5,False,False,False,True,True,False
215,11235981,11225746,2.0,6.0,3.6,2.8,0.6,0.6,,,1.909,False,True,False,False,True,False
216,11226255,11225753,1.0,0.0,2.4,2.2,0.6,0.2,3.0,1.0,1.833,False,False,True,False,True,False
