,media_goals_home,media_goals_away,home_h2h_mean,away_h2h_mean,asian_handicap_1,asian_handicap_2,odds,indefinido,negativo,positivo,reembolso
183,3.0,2.2,,,,,,True,,,False
184,2.2,3.2,,,,,,True,,,False
185,3.0,3.4,,,,,,True,,,False
186,2.2,3.4,,,0.5,0.5,1.85,False,,,False
187,3.0,1.8,,,0.0,0.0,1.875,False,,,False
188,2.6,3.2,,,,,,True,,,False
189,2.6,1.8,,,,,,True,,,False
190,2.4,1.8,,,-0.5,-0.5,1.925,False,,,False
191,1.8,2.2,0.0,4.0,0.0,0.0,1.9,False,,,False
192,2.6,2.6,2.0,2.0,0.0,0.0,1.925,False,,,True
193,2.0,2.0,,,1.0,1.0,1.8,False,,,False
194,1.4,2.0,1.0,1.0,0.0,0.0,1.875,False,,,False
195,2.6,2.2,3.3333333333333335,2.0,0.0,0.0,1.95,False,,,False
196,2.4,2.0,,,-0.5,-0.5,1.85,False,,,False
197,2.0,2.8,,,,,,True,,,False
198,1.8,2.0,2.5,2.5,0.0,0.0,1.9,False,,,False
199,2.8,1.8,,,0.0,0.0,1.8,False,,,False
200,3.4,2.0,,,-0.5,-0.5,1.925,False,,,False
201,2.6,3.8,3.0,2.0,0.0,0.0,1.925,False,,,True
202,3.4,2.8,4.0,3.0,,,,True,,,False
203,2.0,3.0,0.0,4.0,,,,True,,,False
204,2.6,1.8,1.0,3.0,,,,True,,,False
205,2.4,2.2,2.0,2.0,,,,True,,,False
206,3.6,3.8,,,,,,True,,,False
207,3.4,2.8,2.0,3.0,,,,True,,,False
208,2.6,2.0,2.0,2.5,0.0,-0.5,1.9,False,,,False
209,2.0,2.2,,,0.0,-0.5,1.95,False,,,True
210,2.6,3.0,0.0,2.0,0.0,-0.5,1.925,False,,,False
211,3.4,2.0,,,-1.0,-1.0,1.9,False,,,False
212,1.2,2.2,,,,,,True,,,False
213,2.6,2.0,1.0,1.0,,,,True,,,False
214,2.0,2.8,,,0.5,0.5,1.85,False,,,False
215,3.6,2.8,,,0.0,0.5,1.775,False,,,False
216,2.4,2.2,3.0,1.0,,,,True,,,False
217,2.6,1.8,3.0,3.3333333333333335,,,,True,,,False
218,2.0,2.8,,,,,,True,,,False
219,3.4,2.8,2.0,6.0,,,,True,,,False
220,2.0,2.0,2.5,4.5,,,,True,,,False
221,1.2,2.0,,,,,,True,,,False
222,3.4,3.8,1.0,3.0,,,,True,,,False
223,3.6,2.0,2.0,1.0,,,,True,,,False
